Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,0142000671,9780142000670,4,3.89,Penguin Books,Paperback,107,2002,1937,,2/3/23,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,0316769177,9780316769174,4,3.8,Back Bay Books,Paperback,277,2001,1951,,2/3/23,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel",,,4,3.9,Norton,Paperback,464,2002,1847,,2/3/23,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,0142437204,9780142437209,5,4.16,Penguin,Paperback,532,2003,1847,,2/3/23,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,0743273567,9780743273565,4,3.93,Scribner,Paperback,180,1925,1925,,2/3/23,,,read,,,,1,0
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Nina Baym, Thomas E. Connolly",0142437263,9780142437261,3,3.44,Penguin Books,Paperback,279,2002,1850,,2/3/23,,,read,,,,1,0
101157,Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson (Yale Nota Bene),Camille Paglia,"Paglia, Camille",,0300091273,9780300091274,3,3.99,Yale University Press,Paperback,736,2001,1990,,2/3/23,,,read,,,,1,0
67522,The Collected Poems of Emily Dickinson,Emily Dickinson,"Dickinson, Emily",Rachel Wetzsteon,1593080506,9781593080501,5,4.23,Sterling Publishing,Paperback,400,2003,1924,,2/3/23,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,0140283331,9780140283334,3,3.7,Penguin Books ,Paperback,182,1999,1954,,2/3/23,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,4,3.99,Vintage Books,Paperback,296,2000,1987,,2/3/23,,,read,,,,1,0
72159,Cat on a Hot Tin Roof,Tennessee Williams,"Williams, Tennessee",,0811216012,9780811216012,4,4.06,New Directions,Paperback,208,2004,1955,,2/3/23,,,read,,,,1,0
12220,A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",,0822210894,9780822210894,4,3.98,Dramatist's Play Service,Paperback,107,1998,1947,,2/3/23,,,read,,,,1,0
45287,Poetry and Prose,Walt Whitman,"Whitman, Walt",Justin Kaplan,1883011353,9781883011352,4,4.3,Library of America,Paperback,1407,1996,1982,,2/3/23,,,read,,,,1,0
293918,Song of Myself,Walt Whitman,"Whitman, Walt",,142092706X,9781420927061,5,4.16,Digireads.com,Paperback,80,2006,1856,,2/3/23,,,read,,,,1,0
5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,"Neruda, Pablo","W.S. Merwin, Cristina García",0143039962,9780143039969,5,4.19,Penguin Classics,Paperback,60,2006,1924,,2/3/23,,,read,,,,1,0
128461,A Season in Hell and The Drunken Boat,Arthur Rimbaud,"Rimbaud, Arthur",Louise Varèse,0811201856,9780811201858,5,4.32,New Directions,Mass Market Paperback,103,1961,1872,,2/3/23,,,read,,,,1,0
46201,The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,"Rilke, Rainer Maria","Stephen Mitchell, Robert Hass",0679722017,9780679722014,5,4.36,Vintage,Paperback,356,1989,1926,,2/3/23,,,read,,,,1,0
93405,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,"Rilke, Rainer Maria",Mary Dows Herter Norton,0393308812,9780393308815,4,3.93,W. W. Norton  Company,Paperback,237,1992,1910,,2/3/23,,,read,,,,1,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger",067973452X,9780679734529,5,4.17,Vintage Classics,Paperback,136,1994,1864,,2/3/23,,,read,,,,1,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett",0679642420,9780679642428,5,4.21,Modern Library,Paperback,667,2003,1869,,2/3/23,,,read,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,1892295490,9781892295491,4,3.43,Green Integer,Paperback,188,2003,1899,,2/3/23,,,read,,,,1,0
46114,The Waves,Virginia Woolf,"Woolf, Virginia",,0156949601,9780156949606,5,4.14,Harvest Books,Paperback,297,1978,1931,,2/3/23,,,read,,,,1,0
10979,Light in August,William Faulkner,"Faulkner, William","Joseph Blotner, Noel Polk",0679732268,9780679732266,4,3.94,Vintage,Paperback,507,1990,1932,,2/3/23,,,read,,,,1,0
42408988,The Prophet (Illustrated): Masterpiece of The Great Philosopher Khalil Gibran (The prophet by Khalil Gibran),Kahlil Gibran,"Gibran, Kahlil",Harry Shepherd,1549641573,9781549641572,5,4.23,Independently published,Paperback,83,1923,1923,,2/3/23,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,0143131842,9780143131847,5,3.9,Penguin Classics,Paperback,260,2018,1818,,2/3/23,,,read,,,,1,0
333538,The Castle,Franz Kafka,"Kafka, Franz",Mark Harman,0805211063,9780805211061,5,3.92,Schocken,Paperback,328,1998,1926,,2/3/23,,,read,,,,1,0
44796,The Moon and Sixpence,W. Somerset Maugham,"Maugham, W. Somerset",,1598185217,9781598185218,5,4.12,Alan Rodgers Books,Paperback,187,2005,1919,,2/3/23,,,read,,,,1,0
3677,Where Angels Fear to Tread,E.M. Forster,"Forster, E.M.",,1419193775,9781419193774,4,3.59,Kessinger Publishing,Paperback,148,2004,1905,,2/3/23,,,read,,,,1,0
