Date,Title,Author1,Genre1,Length,Rating,CountTotal,Count90,Count00,Count10,Count20,Genre,Author,Books
2000,The Mark: The Beast Rules the World,Tim LaHaye,Religious,381,4.04,,,,,,,,
2000,The Bear and the Dragon,Tom Clancy,Thriller,1137,3.9,,,,,,,,
2000,The Indwelling: The Beast Takes Possession,Tim LaHaye,Religious,416,3.99,,,,,,,,
2000,The Last Precinct,Patricia Cornwell,Mystery,565,3.89,,,,,,,,
2000,Journey,Danielle Steel,Romance,384,4.03,,,,,,,,
2000,The Rescue,Nicholas Sparks,Romance,339,4.12,,,,,,,,
2000,Roses Are Red,James Patterson,Mystery,412,4.08,,,,,,,,
2000,Cradle and All,James Patterson,Mystery,384,3.84,,,,,,,,
2000,Angels & Demons,Dan Brown,Mystery,736,3.94,,,,,,,,
2001,Desecration,Tim LaHaye,Religious,432,4.02,,,,,,,,
2001,Skipping Christmas,John Grisham,Humor,198,3.55,,,,,,,,
2001,A Painted House,John Grisham,Mystery,384,3.75,,,,,,,,
2001,Dreamcatcher,Stephen King,Horror,688,3.65,,,,,,,,
2001,The Corrections,Jonathan Franzen,Fiction,653,3.83,,,,,,,,
2001,Black House,Stephen King,Horror,659,4.03,,,,,,,,
2001,The Kiss,Danielle Steel,Romance,448,3.88,,,,,,,,
2001,Valhalla Rising,Clive Cussler,Thriller,528,3.97,,,,,,,,
2001,A Day Late and a Dollar Short,Terry McMillan,Romance,496,4.1,,,,,,,,
2001,Violets Are Blue,James Patterson,Mystery,391,3.99,,,,,,,,
2002,The Summons,John Grisham,Mystery,384,3.72,,,,,,,,
2002,Red Rabbit,Tom Clancy,Thriller,618,3.73,,,,,,,,
2002,The Remnant,Tim LaHaye,Religious,432,4.02,,,,,,,,
2002,The Lovely Bones,Alice Sebold,Mystery,372,3.85,,,,,,,,
2002,Prey,Michael Crichton,Sci-Fi,507,3.78,,,,,,,,
2002,Skipping Christmas,John Grisham,Humor,198,3.55,,,,,,,,
2002,The Shelters of Stone,Jean M. Auel,Historical Fiction,891,3.86,,,,,,,,
2002,Four Blind Mice,James Patterson,Mystery,416,4.04,,,,,,,,
2002,Everything's Eventual: 14 Dark Tales,Stephen King,Horror,605,3.97,,,,,,,,
2002,The Nanny Diaries,Emma McLaughlin,Romance,306,3.46,,,,,,,,
2003,The Da Vinci Code,Dan Brown,Mystery,489,3.92,,,,,,,,
2003,The Five People You Meet in Heaven,Mitch Albom,Fiction,196,3.99,,,,,,,,
2003,The King of Torts,John Grisham,Thriller,276,3.72,,,,,,,,
2003,Bleachers,John Grisham,Sport,229,3.52,,,,,,,,
2003,Armageddon,Tim LaHaye,Religious,432,4.04,,,,,,,,
2003,The Teeth of the Tiger,Tom Clancy,Thriller,625,3.73,,,,,,,,
2003,The Big Bad Wolf,James Patterson,Mystery,400,4.03,,,,,,,,
2003,Blow Fly,Patricia Cornwell,Mystery,467,3.81,,,,,,,,
2003,The Lovely Bones,Alice Sebold,Mystery,372,3.85,,,,,,,,
2003,The Wedding,Nicholas Sparks,Romance,276,3.99,,,,,,,,
2004,The Da Vinci Code,Dan Brown,Mystery,489,3.92,,,,,,,,
2004,The Five People You Meet in Heaven,Mitch Albom,Fiction,196,3.99,,,,,,,,
2004,The Last Juror,John Grisham,Thriller,278,3.94,,,,,,,,
2004,Glorious Appearing,Tim LaHaye,Religious,399,3.97,,,,,,,,
2004,Angels & Demons,Dan Brown,Mystery,736,3.94,,,,,,,,
2004,State of Fear,Michael Crichton,Thriller,672,3.7,,,,,,,,
2004,London Bridges,James Patterson,Mystery,403,3.96,,,,,,,,
2004,Trace,Patricia Cornwell,Mystery,401,3.82,,,,,,,,
2004,The Rule of Four,Ian Caldwell,Mystery,464,3.29,,,,,,,,
2004,The Da Vinci Code: Special Illustrated Collector's Edition,Dan Brown,Mystery,489,3.92,,,,,,,,
2005,The Broker,John Grisham,Thriller,422,3.83,,,,,,,,
2005,The Da Vinci Code,Dan Brown,Mystery,489,3.92,,,,,,,,
2005,"Mary, Mary",James Patterson,Mystery,413,4,,,,,,,,
2005,At First Sight,Nicholas Sparks,Romance,204,3.86,,,,,,,,
2005,Predator,Patricia Cornwell,Mystery,453,3.72,,,,,,,,
2005,True Believer,Nicholas Sparks,Romance,465,3.84,,,,,,,,
2005,Light from Heaven,Jan Karon,Religious,439,4.39,,,,,,,,
2005,The Historian,Elizabeth Kostova,Historical Fiction,704,3.8,,,,,,,,
2005,The Mermaid Chair,Sue Monk Kidd,Romance,368,3.21,,,,,,,,
2005,Eleven on Top,Janet Evanovich,Mystery,321,4.17,,,,,,,,
2006,For One More Day,Mitch Albom,Fiction,208,4.12,,,,,,,,
2006,Cross,James Patterson,Mystery,393,4.04,,,,,,,,
2006,Dear John,Nicholas Sparks,Romance,276,4.04,,,,,,,,
2006,Next,Michael Crichton,Sci-Fi,431,3.53,,,,,,,,
2006,Hannibal Rising,Thomas Harris,Horror,336,3.56,,,,,,,,
2006,Lisey's Story,Stephen King,Horror,513,3.7,,,,,,,,
2006,Twelve Sharp,Janet Evanovich,Mystery,310,4.16,,,,,,,,
2006,Cell,Stephen King,Horror,449,3.66,,,,,,,,
2006,Beach Road,James Patterson,Mystery,390,3.84,,,,,,,,
2006,The 5th Horseman,James Patterson,Mystery,464,4.09,,,,,,,,
2007,A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction,372,4.43,,,,,,,,
2007,Playing For Pizza,John Grisham,Sport,262,3.51,,,,,,,,
2007,Double Cross,James Patterson,Mystery,389,4.04,,,,,,,,
2007,The Choice,Nicholas Sparks,Romance,325,4.01,,,,,,,,
2007,Lean Mean Thirteen,Janet Evanovich,Mystery,310,4.1,,,,,,,,
2007,Plum Lovin',Janet Evanovich,Mystery,164,3.75,,,,,,,,
2007,Book of the Dead,Patricia Cornwell,Mystery,511,3.7,,,,,,,,
2007,The Quickie,James Patterson,Mystery,357,3.86,,,,,,,,
2007,The 6th Target,James Patterson,Mystery,4.06,4.06,,,,,,,,
2007,The Darkest Evening of the Year,Dean Koontz,Horror,354,3.77,,,,,,,,
2008,The Appeal,John Grisham,Thriller,358,3.63,,,,,,,,
2008,The Story of Edgar Sawtelle,David Wroblewski,Fiction,566,3.64,,,,,,,,
2008,The Host,Stephenie Meyer,Young Adult,624,3.86,,,,,,,,
2008,Cross Country,James Patterson,Mystery,480,3.88,,,,,,,,
2008,The Lucky One,Nicholas Sparks,Romance,326,4.12,,,,,,,,
2008,Fearless Fourteen,Janet Evanovich,Mystery,310,4.05,,,,,,,,
2008,Christmas Sweater,Glenn Beck,Religious,284,3.82,,,,,,,,
2008,Scarpetta,Patricia Cornwell,Mystery,342,4.03,,,,,,,,
2008,Your Heart Belongs to Me,Dean Koontz,Horror,337,3.39,,,,,,,,
2008,Plum Lucky,Janet Evanovich,Mystery,166,3.77,,,,,,,,
2009,The Lost Symbol,Dan Brown,Mystery,509,3.75,,,,,,,,
2009,The Associate,John Grisham,Thriller,373,3.7,,,,,,,,
2009,The Help,Kathryn Stockett,Historical Fiction,464,4.47,,,,,,,,
2009,"I, Alex Cross",James Patterson,Mystery,400,4.04,,,,,,,,
2009,The Last Song,Nicholas Sparks,Romance,390,4.16,,,,,,,,
2009,Ford County,John Grisham,Mystery,3.71,3.71,,,,,,,,
2009,Finger Lickin' Fifteen,Janet Evanovich,Mystery,4.02,4.02,,,,,,,,
2009,The Host,Stephenie Meyer,Young Adult,624,3.86,,,,,,,,
2009,Under the Dome,Stephen King,Horror,1074,3.92,,,,,,,,
2009,Pirate Latitudes,Michael Crichton,Historical Fiction,312,3.49,,,,,,,,
2010,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,Mystery,566,4.24,,,,,,,,
2010,The Confession ,John Grisham,Mystery,418,3.84,,,,,,,,
2010,The Help ,Kathryn Stockett,Historical Fiction,464,4.47,,,,,,,,
2010,Safe Haven ,Nicholas Sparks,Romance,353,4.22,,,,,,,,
2010,Dead or Alive,Tom Clancy,Thriller,950,3.89,,,,,,,,
2010,Sizzling Sixteen,Janet Evanovich,Mystery,371,3.97,,,,,,,,
2010,Cross Fire,James Patterson,Mystery,356,4.11,,,,,,,,
2010,Freedom,Jonathan Franzen,Fiction,562,3.78,,,,,,,,
2010,Port Mortuary,Patricia Cornwell,Mystery,496,3.63,,,,,,,,
2010,"Full Dark, No Stars",Stephen King,Horror,368,4.08,,,,,,,,
2011,The Litigators,John Grisham,Thriller,385,3.88,,,,,,,,
2011,11/22/63,Stephen King,Horror,849,4.34,,,,,,,,
2011,The Best of Me,Nicholas Sparks,Romance,292,3.98,,,,,,,,
2011,Smokin' Seventeen,Janet Evanovich,Mystery,324,3.98,,,,,,,,
2011,A Dance with Dragons,George R. R. Martin,Fantasy,1125,4.34,,,,,,,,
2011,Explosive Eighteen,Janet Evanovich,Mystery,305,3.97,,,,,,,,
2011,Kill Alex Cross,James Patterson,Mystery,375,4.07,,,,,,,,
2011,Micro,Michael Crichton,Sci-Fi,424,3.51,,,,,,,,
2011,Dead Reckoning,Charlaine Harris,Fantasy,336,3.81,,,,,,,,
2011,Locked On,Tom Clancy,Thriller,853,4.1,,,,,,,,
2012,Fifty Shades of Grey,E. L. James,Romance,356,3.66,,,,,,,,
2012,The Hunger Games,Suzanne Collins,Young Adult,374,4.34,,,,,,,,
2012,Fifty Shades Darker,E. L. James,Romance,532,3.83,,,,,,,,
2012,Fifty Shades Freed,E. L. James,Romance,579,3.83,,,,,,,,
2012,Catching Fire,Suzanne Collins,Young Adult,391,4.33,,,,,,,,
2012,Mockingjay,Suzanne Collins,Young Adult,390,4.09,,,,,,,,
2012,Diary of a Wimpy Kid: The Third Wheel,Jeff Kinney,Humor,224,4.2,,,,,,,,
2012,Fifty Shades trilogy box set,E. L. James,Romance,1859,4.11,,,,,,,,
2012,The Mark of Athena,Rick Riordan,Fantasy,586,4.47,,,,,,,,
2012,Gone Girl,Gillian Flynn,Mystery,415,4.13,,,,,,,,
2013,Diary of a Wimpy Kid: Hard Luck,Jeff Kinney,Humor,217,4.27,,,,,,,,
2013,Inferno,Dan Brown,Thriller,463,3.89,,,,,,,,
2013,The House of Hades,Rick Riordan,Fantasy,597,4.57,,,,,,,,
2013,Divergent,Veronica Roth,Young Adult,487,4.14,,,,,,,,
2013,Sycamore Row,John Grisham,Mystery,447,4.08,,,,,,,,
2013,Diary of a Wimpy Kid: The Third Wheel,Jeff Kinney,Humor,224,4.2,,,,,,,,
2013,Allegiant,Veronica Roth,Young Adult,531,3.6,,,,,,,,
2013,The Fault in Our Stars,John Green,Young Adult,313,4.14,,,,,,,,
2013,Doctor Sleep,Stephen King,Horror,531,4.13,,,,,,,,
2013,The Great Gatsby,F. Scott Fitzgerald,Classics,180,3.93,,,,,,,,
2014,The Fault in Our Stars,John Green,Young Adult,313,4.14,,,,,,,,
2014,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Humor,217,4.33,,,,,,,,
2014,Divergent,Veronica Roth,Young Adult,487,4.14,,,,,,,,
2014,Insurgent,Veronica Roth,Young Adult,525,3.97,,,,,,,,
2014,Killing Patton,Bill O'Reilly,Historical Fiction,365,4.13,,,,,,,,
2014,Allegiant,Veronica Roth,Young Adult,531,3.6,,,,,,,,
